id,name_list_as,name_display_as,name_full_title,name_address_as,latest_party_id,latest_party_name,latest_party_short,latestParty_governmentType,latestParty_isIndependentParty,gender,membershipFrom,membershipFromId,membership_house,membershipStartDate,membershipEndDate,membershipEndReason,membershipEndReasonNotes,membershipEndReasonId,statusIsActive,statusDescription,statusNotes,statusId,status,statusStartDate
1522,"Holloway, Adam","Adam Holloway","Adam Holloway MP","Adam Holloway",4,"Conservative","Con",0,false,"M","Gravesham",3501,1,"2005-05-05T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4803,"Holmes, Paul","Paul Holmes","Paul Holmes MP","",4,"Conservative","Con",0,false,"M","Eastleigh",3468,1,"2019-12-12T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4873,"Hopkins, Rachel","Rachel Hopkins","Rachel Hopkins MP","",15,"Labour","Lab",3,false,"F","Luton South",3590,1,"2019-12-12T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
1514,"Hosie, Stewart","Stewart Hosie","Rt Hon Stewart Hosie MP","Stewart Hosie",29,"Scottish National Party","SNP","",false,"M","Dundee East",922,1,"2005-05-05T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
481,"Howarth, Sir George","Sir George Howarth","Rt Hon Sir George Howarth MP","Sir George Howarth",15,"Labour","Lab",3,false,"M","Knowsley",3562,1,"1986-11-13T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
1606,"Howell, John","John Howell","John Howell MP","John Howell",4,"Conservative","Con",0,false,"M","Henley",3528,1,"2008-06-26T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4830,"Howell, Paul","Paul Howell","Paul Howell MP","",4,"Conservative","Con",0,false,"M","Sedgefield",3718,1,"2019-12-12T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
467,"Hoyle, Sir Lindsay","Sir Lindsay Hoyle","Rt Hon Sir Lindsay Hoyle MP","Sir Lindsay",47,"Speaker","Spk","",false,"M","Chorley",3413,1,"1997-05-01T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4407,"Huddleston, Nigel","Nigel Huddleston","Nigel Huddleston MP","Nigel Huddleston",4,"Conservative","Con",0,false,"M","Mid Worcestershire",3609,1,"2015-05-07T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4853,"Hudson, Dr Neil","Dr Neil Hudson","Dr Neil Hudson MP","",4,"Conservative","Con",0,false,"M","Penrith and The Border",3677,1,"2019-12-12T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
